philippines NNS --- O
typhoon NN --- O
survivor NN --- O
: : --- O
‘ NN --- O
there EX --- O
’ NNP --- O
s VBD --- O
a DT --- O
reason NN --- O
for IN --- O
everything NN --- O
’ NN --- O
. . --- O
<utt>
elena NNP PERSON O
garado NNP PERSON O
thought VBD --- O
she PRP --- O
was VBD --- O
dead JJ --- O
after IN --- O
being VBG --- O
trapped VBN --- O
under IN --- O
a DT --- O
table NN --- O
for IN --- O
four CD --- O
hours NNS --- O
when WRB --- O
typhoon NNP PERSON B.event.flood
yolanda NNP PERSON I.event.flood
hit VBD --- O
her PRP$ --- O
hometown NN --- O
in IN --- O
november NNP DATE B.time
2013 CD DATE I.time
. . --- O
<utt>
but CC --- O
one CD --- O
year NN --- O
later RB --- O
, , --- O
she PRP --- O
is VBZ --- O
happy JJ --- O
with IN --- O
her PRP$ --- O
life NN --- O
and CC --- O
says VBZ --- O
that IN --- O
she PRP --- O
knows VBZ --- O
there EX --- O
is VBZ --- O
a DT --- O
purpose JJ --- O
to TO --- O
everything NN --- O
. . --- O
<utt>
“ JJ --- O
time NNP --- O
changes NNS --- O
everything NN --- O
. . --- O
<utt>
everything NN --- O
, , --- O
this DT --- O
yolanda NNP PERSON O
… NNP PERSON O
there EX --- O
’ NNP --- O
s VBD --- O
a DT --- O
reason NN --- O
for IN --- O
everything NN --- O
, , --- O
” NNP --- O
garado NNP --- O
told VBD --- O
cna NNP ORGANIZATION O
on IN --- O
jan. NNP DATE O
17 CD DATE O
. . --- O
<utt>
super NNP --- B.event.flood
typhoon NNP --- I.event.flood
yolanda NNP PERSON I.event.flood
– NNP PERSON O
known VBN --- O
internationally RB --- O
as IN --- O
super NNP --- B.event.flood
typhoon NNP --- I.event.flood
haiyan NNP --- I.event.flood
– NNP --- O
ravaged VBD --- O
the DT --- O
country NN --- O
just RB --- O
over IN --- O
a DT --- O
year NN --- O
ago RB --- O
, , --- O
claiming VBG --- O
the DT --- O
lives NNS --- O
of IN --- O
more JJR --- B.dmg.ppl.kill
than IN --- I.dmg.ppl.kill
6,000 CD --- I.dmg.ppl.kill
people NNS --- O
. . --- O
<utt>
more JJR --- O
than IN --- O
1 CD --- O
million CD --- O
people NNS --- O
were VBD --- O
still RB --- O
estimated VBN --- O
to TO --- O
be VB --- O
homeless PDT --- O
a DT --- O
year NN --- O
later RB --- O
. . --- O
<utt>
then RB --- O
, , --- O
this DT --- O
past JJ --- B.time
december NNP DATE I.time
, , --- O
another DT --- O
typhoon NN --- B.event.flood
tore RB --- O
through IN --- O
the DT --- O
eastern JJ --- B.loc.focus
islands NNS --- I.loc.focus
of IN --- O
the DT LOCATION O
philippines NNPS LOCATION B.loc.supp
, , --- O
causing VBG --- O
even RB --- O
more JJR --- O
devastation NN --- O
. . --- O
<utt>
present NNP --- O
for IN --- O
pope NNP --- O
francis NNP PERSON O
’ NNP --- O
jan. NNP DATE O
17 CD DATE O
mass NNP --- O
in IN --- O
tacloban NNP LOCATION O
with IN --- O
survivors NNS --- O
of IN --- O
the DT --- O
typhoons NNS --- O
, , --- O
garado NNP PERSON O
was VBD --- O
accompanied VBN --- O
by IN --- O
her PRP$ --- O
brother NN --- O
, , --- O
who WP --- O
saved VBD --- O
her PRP --- O
life NN --- O
after IN --- O
the DT --- O
devastating JJ --- O
storm NN --- O
. . --- O
<utt>
“ VB --- O
our PRP$ --- O
house NN --- O
was VBD --- O
damaged VBN --- O
, , --- O
totally RB --- O
damaged VBN --- O
. . --- O
<utt>
i PRP --- O
thought VBD --- O
i PRP --- O
was VBD --- O
dead JJ --- O
, , --- O
because IN --- O
i PRP --- O
had VBD --- O
no DT --- O
clothes NNS --- O
and CC --- O
( ( --- O
was VBD --- O
trapped VBN --- O
) ) --- O
under IN --- O
a DT --- O
table NN --- O
for IN --- O
four CD --- O
hours NNS --- O
( ( --- O
with IN --- O
) ) --- O
no DT --- O
food NN --- O
and CC --- O
no DT --- O
water NN --- O
, , --- O
” NNP --- O
she PRP --- O
said VBD --- O
. . --- O
<utt>
trapped VBN --- O
in IN --- O
the DT --- O
house NN --- O
along IN --- O
with IN --- O
her PRP$ --- O
nephew NN --- O
and CC --- O
maid NN --- O
, , --- O
garado NNP PERSON O
recalled VBD --- O
, , --- O
the DT --- O
trio NN --- O
was VBD --- O
eventually RB --- O
rescued VBN --- O
by IN --- O
her PRP$ --- O
brother NN --- O
joseph NNP PERSON O
, , --- O
who WP --- O
found VBD --- O
them PRP --- O
, , --- O
and CC --- O
took VBD --- O
them PRP --- O
all DT --- O
on IN --- O
a DT --- O
single JJ --- O
motorcycle NN --- O
to TO --- O
a DT --- O
safer JJR --- O
area NN --- O
. . --- O
<utt>
joseph NNP PERSON O
told VBD --- O
cna NNP ORGANIZATION O
that IN --- O
he PRP --- O
began VBD --- O
to TO --- O
worry VB --- O
about IN --- O
his PRP$ --- O
sister NN --- O
after IN --- O
not RB --- O
hearing VBG --- O
from IN --- O
her PRP$ --- O
in IN --- O
10 CD --- O
hours NNS --- O
, , --- O
so IN --- O
he PRP --- O
went VBD --- O
to TO --- O
her PRP$ --- O
house NN --- O
knowing NN --- O
that IN --- O
something NN --- O
was VBD --- O
wrong JJ --- O
. . --- O
<utt>
“ NN --- O
i PRP --- O
’ VBP --- O
m RB --- O
happy JJ --- O
because IN --- O
she PRP --- O
’ VBZ --- O
s JJ --- O
alive JJ --- O
. . --- O
<utt>
i PRP --- O
thank VBP --- O
god NNP --- O
, , --- O
” NNP --- O
he PRP --- O
said VBD --- O
, , --- O
explaining VBG --- O
that IN --- O
they PRP --- O
are VBP --- O
still RB --- O
in IN --- O
the DT --- O
process NN --- O
of IN --- O
rebuilding VBG --- O
some DT --- O
things NNS --- O
. . --- O
<utt>
since IN --- O
her PRP$ --- O
house NN --- O
was VBD --- O
destroyed VBN --- O
, , --- O
garado NNP PERSON O
went VBD --- O
to TO --- O
stay VB --- O
with IN --- O
one CD --- O
of IN --- O
her PRP$ --- O
children NNS --- O
in IN --- O
cebu NNP LOCATION O
for IN --- O
two CD --- O
months NNS --- O
. . --- O
<utt>
she PRP --- O
has VBZ --- O
now RB --- O
returned VBN --- O
to TO --- O
her PRP$ --- O
house NN --- O
, , --- O
which WDT --- O
was VBD --- O
rebuilt VBN --- O
in IN --- O
march NNP DATE O
, , --- O
and CC --- O
is VBZ --- O
working VBG --- O
at IN --- O
a DT --- O
store NN --- O
. . --- O
<utt>
to TO --- O
be VB --- O
present JJ --- O
at IN --- O
pope NNP --- O
francis NNP PERSON O
’ NNP PERSON O
mass NNP --- O
honoring VBG --- O
the DT --- O
victims NNS --- O
and CC --- O
survivors NNS --- O
of IN --- O
the DT --- O
deadly JJ --- O
storms NNS --- O
, , --- O
makes VBZ --- O
them PRP --- O
both DT --- O
very RB --- O
happy JJ --- O
, , --- O
they PRP --- O
said VBD --- O
. . --- O
<utt>
if IN --- O
given VBN --- O
the DT --- O
opportunity NN --- O
to TO --- O
speak VB --- O
with IN --- O
the DT --- O
holy NNP ORGANIZATION O
father NNP ORGANIZATION O
, , --- O
garado NNP PERSON O
said VBD --- O
that IN --- O
she PRP --- O
would MD --- O
tell VB --- O
him PRP --- O
she PRP --- O
is VBZ --- O
“ JJ --- O
very RB --- O
thankful JJ --- O
and CC --- O
blessed VBN --- O
, , --- O
and CC --- O
i PRP --- O
want VBP --- O
him PRP --- O
to TO --- O
pray VB --- O
for IN --- O
us PRP --- O
. . --- O
<utt>
” NN --- O
faced VBD --- O
with IN --- O
the DT --- O
difficulty NN --- O
of IN --- O
losing VBG --- O
many JJ --- O
of IN --- O
her PRP$ --- O
belongings NNS --- O
, , --- O
garado NNP PERSON O
said VBD --- O
that IN --- O
