floods NNS --- B.event.flood
in IN --- O
louisiana NNP LOCATION B.loc.focus
and CC --- O
the DT LOCATION O
philippines NNPS LOCATION B.loc.focus
, , --- O
and CC --- O
a DT --- O
heatwave NN --- O
in IN --- O
south NNP LOCATION O
korea NNP LOCATION O
. . --- O
<utt>
there EX --- O
has VBZ --- O
been VBN --- O
severe JJ --- O
flooding NN --- B.event.flood
in IN --- O
louisiana NNP LOCATION B.loc.focus
during IN --- O
the DT --- O
past JJ DATE B.time
week NN DATE I.time
after IN DATE O
two CD DATE O
days NNS DATE O
of IN --- O
intense JJ --- O
rainfall NN --- O
. . --- O
<utt>
a DT --- O
very RB --- O
slow-moving JJ --- O
low JJ --- O
pressure NN --- O
system NN --- O
hovered VBD --- O
over IN --- O
southern JJ --- O
parts NNS --- O
of IN --- O
the DT --- O
state NN --- O
from IN --- O
thursday NNP DATE O
to TO --- O
saturday NNP DATE O
bringing VBG --- O
persistent JJ --- O
heavy JJ --- O
rain NN --- O
to TO --- O
some DT --- O
areas NNS --- O
and CC --- O
a DT --- O
series NN --- O
of IN --- O
thunderstorms NNS --- O
to TO --- O
other JJ --- O
areas NNS --- O
. . --- O
<utt>
more JJR --- O
than IN --- O
600 CD --- O
mm NN --- O
( ( --- O
23.5 CD --- O
in IN --- O
) ) --- O
of IN --- O
rain NN --- O
was VBD --- O
recorded VBN --- O
in IN --- O
places NNS --- O
, , --- O
with IN --- O
the DT --- O
deluge NN --- O
initially RB --- O
causing VBG --- O
localised VBN --- O
flash JJ --- O
flooding NN --- B.event.flood
. . --- O
<utt>
there EX --- O
was VBD --- O
more JJR --- O
widespread JJ --- O
flooding NN --- B.event.flood
later RBR --- O
in IN --- O
the DT --- O
weekend NN DATE B.time
and CC --- O
into IN --- O
this DT --- B.time
week NN --- I.time
as IN --- O
the DT --- O
water NN --- O
flowed VBD --- O
downstream NN --- O
and CC --- O
overwhelmed JJ --- O
larger JJR --- O
rivers NNS --- O
. . --- O
<utt>
at IN --- B.dmg.ppl.kill
least JJS --- I.dmg.ppl.kill
11 CD --- I.dmg.ppl.kill
people NNS --- O
were VBD --- O
believed VBN --- O
to TO --- O
have VB --- O
been VBN --- O
killed VBN --- O
and CC --- O
about IN --- B.dmg.ppl.evac
11,000 CD --- I.dmg.ppl.evac
forced VBD --- O
into IN --- O
temporary JJ --- O
shelters NNS --- O
. . --- O
<utt>
related VBN --- O
: : --- O
louisiana JJ LOCATION B.loc.focus
floods NNS --- B.event.flood
: : --- O
state NN --- O
begins VBZ --- O
recovery NN --- O
from IN --- O
devastating VBG --- O
storm NN --- O
– NN --- O
in IN --- O
pictures VBZ --- O
the DT LOCATION O
philippines NNP LOCATION B.loc.focus
also RB --- O
experienced VBD --- O
several JJ --- O
days NNS --- O
of IN --- O
torrential JJ --- O
rain NN --- O
and CC --- O
flooding NN --- B.event.flood
during IN --- O
the DT --- O
past JJ --- B.time
week NN --- I.time
. . --- O
<utt>
the DT --- O
heavy JJ --- O
monsoon NN --- B.event.flood
rains NNS --- I.event.flood
have VBP --- O
affected VBN --- O
manila NNP LOCATION B.loc.focus
and CC --- O
surrounding VBG --- O
regions NNS --- O
, , --- O
with IN --- O
more JJR --- B.dmg.ppl.evac
than IN --- I.dmg.ppl.evac
24,000 CD --- I.dmg.ppl.evac
people NNS --- O
evacuated VBN --- O
and CC --- O
at IN --- B.dmg.ppl.kill
least JJS --- I.dmg.ppl.kill
nine CD --- I.dmg.ppl.kill
people NNS --- O
reported VBN --- O
to TO --- O
have VB --- O
died VBN --- O
. . --- O
<utt>
on IN --- O
sunday NNP DATE O
afternoon NN --- O
manila NNP LOCATION O
was VBD --- O
also RB --- O
hit VBN --- O
by IN --- O
a DT --- O
tornado NN --- O
, , --- O
which WDT --- O
formed VBD --- O
in IN --- O
the DT --- O
port NNP LOCATION O
area NNP LOCATION O
